"MC,20200216,0,0,0,0,0"
"MD,20200216,14,14,0,0,0"
"ML,20200216,0,0,0,0,0"
"NC,20200216,0,0,0,0,0"
"PV,20200216,1,1,0,0,0"
"RI,20200216,0,0,0,0,0"
"VC,20200216,1,1,0,0,0"
"AN,20200217,2,0,2,0,0"
"AR,20200217,1,1,0,0,0"
"AS,20200217,0,0,0,0,0"
"CB,20200217,0,0,0,0,0"
"CE,20200217,0,0,0,0,0"
"CL,20200217,0,0,0,0,0"
"CM,20200217,0,0,0,0,0"
"CN,20200217,0,0,0,0,0"
"CT,20200217,2,1,0,0,1"
"EX,20200217,1,0,1,0,0"
"GA,20200217,0,0,0,0,0"
"IB,20200217,0,0,0,0,0"
"MC,20200217,3,0,3,0,0"
"MD,20200217,19,19,0,0,0"
"ML,20200217,0,0,0,0,0"
"NC,20200217,0,0,0,0,0"
"PV,20200217,2,2,0,0,0"
"RI,20200217,0,0,0,0,0"
"VC,20200217,5,2,3,0,0"
"AN,20200218,3,3,0,0,0"
"AR,20200218,1,1,0,0,0"
"AS,20200218,0,0,0,0,0"
"CB,20200218,0,0,0,0,0"
"CE,20200218,0,0,0,0,0"
"CL,20200218,1,1,0,0,0"
"CM,20200218,0,0,0,0,0"
"CN,20200218,1,1,0,0,0"
"CT,20200218,4,4,0,0,0"
"EX,20200218,0,0,0,0,0"
"GA,20200218,1,1,0,0,0"
"IB,20200218,0,0,0,0,0"
"MC,20200218,1,0,1,0,0"
"MD,20200218,14,14,0,0,0"
"ML,20200218,0,0,0,0,0"
"NC,20200218,0,0,0,0,0"
"PV,20200218,0,0,0,0,0"
"RI,20200218,0,0,0,0,0"
"VC,20200218,2,1,1,0,0"
"AN,20200219,1,0,1,0,0"
"AR,20200219,0,0,0,0,0"
"AS,20200219,0,0,0,0,0"
"CB,20200219,0,0,0,0,0"
"CE,20200219,0,0,0,0,0"
"CL,20200219,1,0,1,0,0"
"CM,20200219,0,0,0,0,0"
"CN,20200219,1,1,0,0,0"
"CT,20200219,1,1,0,0,0"
"EX,20200219,1,1,0,0,0"
"GA,20200219,1,0,0,0,1"
"IB,20200219,0,0,0,0,0"
"MC,20200219,1,0,1,0,0"
"MD,20200219,12,12,0,0,0"
"ML,20200219,0,0,0,0,0"
"NC,20200219,0,0,0,0,0"
"PV,20200219,1,1,0,0,0"
"RI,20200219,0,0,0,0,0"
"VC,20200219,2,1,1,0,0"
"AN,20200220,8,3,5,0,0"
"AR,20200220,0,0,0,0,0"
"AS,20200220,0,0,0,0,0"
"CB,20200220,0,0,0,0,0"
"CE,20200220,0,0,0,0,0"
"CL,20200220,3,1,2,0,0"
"CM,20200220,2,1,0,0,1"
"CN,20200220,1,1,0,0,0"
"CT,20200220,11,8,0,0,3"
"EX,20200220,1,0,1,0,0"
"GA,20200220,3,3,0,0,0"
"IB,20200220,1,0,1,0,0"
"MC,20200220,0,0,0,0,0"
"MD,20200220,22,22,0,0,0"
"ML,20200220,0,0,0,0,0"
"NC,20200220,1,0,1,0,0"
"PV,20200220,1,1,0,0,0"
"RI,20200220,0,0,0,0,0"
"VC,20200220,6,3,3,0,0"
"AN,20200221,5,4,1,0,0"
"AR,20200221,2,2,0,0,0"
"AS,20200221,0,0,0,0,0"
"CB,20200221,0,0,0,0,0"
"CE,20200221,0,0,0,0,0"
"CL,20200221,5,3,2,0,0"
"CM,20200221,0,0,0,0,0"
"CN,20200221,0,0,0,0,0"
"CT,20200221,14,12,0,0,2"
"EX,20200221,1,0,1,0,0"
"GA,20200221,0,0,0,0,0"
"IB,20200221,0,0,0,0,0"
"MC,20200221,0,0,0,0,0"
"MD,20200221,27,27,0,0,0"
"ML,20200221,0,0,0,0,0"
"NC,20200221,2,1,1,0,0"
"PV,20200221,3,3,0,0,0"
"RI,20200221,1,1,0,0,0"
"VC,20200221,3,2,1,0,0"
"AN,20200222,2,2,0,0,0"
"AR,20200222,3,3,0,0,0"
"AS,20200222,0,0,0,0,0"
"CB,20200222,0,0,0,0,0"
"CE,20200222,0,0,0,0,0"
"CL,20200222,2,2,0,0,0"
"CM,20200222,0,0,0,0,0"
"CN,20200222,0,0,0,0,0"
"CT,20200222,11,9,0,0,2"
"EX,20200222,0,0,0,0,0"
"GA,20200222,3,2,1,0,0"
"IB,20200222,0,0,0,0,0"
"MC,20200222,1,1,0,0,0"
"MD,20200222,29,29,0,0,0"
"ML,20200222,0,0,0,0,0"
"NC,20200222,1,1,0,0,0"
"PV,20200222,3,3,0,0,0"
"RI,20200222,0,0,0,0,0"
"VC,20200222,2,2,0,0,0"
"AN,20200223,2,2,0,0,0"
"AR,20200223,1,1,0,0,0"
"AS,20200223,1,1,0,0,0"
"CB,20200223,1,1,0,0,0"
"CE,20200223,0,0,0,0,0"
"CL,20200223,5,4,1,0,0"
"CM,20200223,0,0,0,0,0"
"CN,20200223,2,2,0,0,0"
